"filename", "language", "Vue", "TypeScript", "SCSS", "comment", "blank", "total"
"d:\OneDrive\桌面\vue3-admin-template\vue3-admin-template\src\api\product\trademark\index.ts", "TypeScript", 0, 29, 0, 12, 4, 45
"d:\OneDrive\桌面\vue3-admin-template\vue3-admin-template\src\api\product\trademark\type.ts", "TypeScript", 0, 30, 0, 1, 3, 34
"d:\OneDrive\桌面\vue3-admin-template\vue3-admin-template\src\api\user\index.ts", "TypeScript", 0, 6, 0, 1, 0, 7
"d:\OneDrive\桌面\vue3-admin-template\vue3-admin-template\src\api\user\type.ts", "TypeScript", 0, -9, 0, 2, -2, -9
"d:\OneDrive\桌面\vue3-admin-template\vue3-admin-template\src\layout\index.vue", "Vue", 32, 0, 0, 0, 5, 37
"d:\OneDrive\桌面\vue3-admin-template\vue3-admin-template\src\layout\logo\index.vue", "Vue", 3, 0, 0, 0, 0, 3
"d:\OneDrive\桌面\vue3-admin-template\vue3-admin-template\src\layout\main\index.vue", "Vue", 26, 0, 0, 0, 0, 26
"d:\OneDrive\桌面\vue3-admin-template\vue3-admin-template\src\layout\menu\index.vue", "Vue", 9, 0, 0, 0, 0, 9
"d:\OneDrive\桌面\vue3-admin-template\vue3-admin-template\src\layout\tabbar\index.vue", "Vue", 25, 0, 0, -1, 1, 25
"d:\OneDrive\桌面\vue3-admin-template\vue3-admin-template\src\layout\tabbar\left_tabbar\index.vue", "Vue", 35, 0, 0, 5, 5, 45
"d:\OneDrive\桌面\vue3-admin-template\vue3-admin-template\src\layout\tabbar\right_tabbar\index.vue", "Vue", 84, 0, 0, 2, 5, 91
"d:\OneDrive\桌面\vue3-admin-template\vue3-admin-template\src\main.ts", "TypeScript", 0, 1, 0, 0, 0, 1
"d:\OneDrive\桌面\vue3-admin-template\vue3-admin-template\src\perimissiion.ts", "TypeScript", 0, 43, 0, 24, 6, 73
"d:\OneDrive\桌面\vue3-admin-template\vue3-admin-template\src\router\routes.ts", "TypeScript", 0, 1, 0, 1, 0, 2
"d:\OneDrive\桌面\vue3-admin-template\vue3-admin-template\src\setting.ts", "TypeScript", 0, 5, 0, 1, 1, 7
"d:\OneDrive\桌面\vue3-admin-template\vue3-admin-template\src\store\modules\setting.ts", "TypeScript", 0, 10, 0, 2, 2, 14
"d:\OneDrive\桌面\vue3-admin-template\vue3-admin-template\src\store\modules\user.ts", "TypeScript", 0, 28, 0, 6, 0, 34
"d:\OneDrive\桌面\vue3-admin-template\vue3-admin-template\src\store\types\type.ts", "TypeScript", 0, 2, 0, 0, 1, 3
"d:\OneDrive\桌面\vue3-admin-template\vue3-admin-template\src\styles\variable.scss", "SCSS", 0, 0, 1, 0, 0, 1
"d:\OneDrive\桌面\vue3-admin-template\vue3-admin-template\src\utils\request.ts", "TypeScript", 0, 5, 0, 0, 1, 6
"d:\OneDrive\桌面\vue3-admin-template\vue3-admin-template\src\utils\token.ts", "TypeScript", 0, 3, 0, 0, 0, 3
"d:\OneDrive\桌面\vue3-admin-template\vue3-admin-template\src\views\ad\user\index.vue", "Vue", 5, 0, 0, 0, 1, 6
"d:\OneDrive\桌面\vue3-admin-template\vue3-admin-template\src\views\home\index.vue", "Vue", 8, 0, 0, 0, 2, 10
"d:\OneDrive\桌面\vue3-admin-template\vue3-admin-template\src\views\login\index.vue", "Vue", 3, 0, 0, 0, 1, 4
"d:\OneDrive\桌面\vue3-admin-template\vue3-admin-template\src\views\product\trademark\index.vue", "Vue", 254, 0, 0, 4, 15, 273
"Total", "-", 484, 154, 1, 60, 51, 750